M_NB,SourceName,TIMESTAMP,M_IDENTITY,M_ACC_CUR,M_BONDCLNPR0,M_BONDCLNPR1,M_BONDCLNPR2,M_CHK_DATE0,M_CHK_DATE1,M_CHK_DATE2,M_C_CUR_PL,M_C_PL_DT,M_DIRECTION1,M_DIRECTION2,M_INSTRUMENT,M_IPAYCLEAN,M_MP_R0,M_MP_R1,M_MP_R2,M_MP_RF0,M_MP_RF1,M_MP_RF2,M_MP_SPOT0,M_MP_SPOT1,M_MP_SPOT2,M_MP_SWAP0,M_MP_SWAP1,M_MP_SWAP2,M_MP_TLOSS,M_MP_UDDRP10,M_MP_UDDRP11,M_MP_UDDRP12,M_MP_UDDRP20,M_MP_UDDRP21,M_MP_UDDRP22,M_MP_UDEXR0,M_MP_UDEXR1,M_MP_UDEXR2,M_MP_UPRC0,M_MP_UPRC1,M_MP_UPRC2,M_MP_UPRCIS0,M_MP_UPRCIS1,M_MP_UPRCIS2,M_MP_USEXR0,M_MP_USEXR1,M_MP_USEXR2,M_MP_VOL0,M_MP_VOL1,M_MP_VOL2,M_MX_REF_JOB,,M_PLCPNACC0,M_PLCPNACC1,M_PLCPNACC2,M_PLIRDACC10,M_PLIRDACC11,M_PLIRDACC12,M_PLIRDACC20,M_PLIRDACC21,M_PLIRDACC22,M_PLIRDACS10,M_PLIRDACS11,M_PLIRDACS12,M_PLIRDACS20,M_PLIRDACS21,M_PLIRDACS22,M_PLIRDCUR1,M_PLIRDCUR2,M_PLIRDFCS10,M_PLIRDFCS11,M_PLIRDFCS12,M_PLIRDFCS20,M_PLIRDFCS21,M_PLIRDFCS22,M_PL_ACC0,M_PL_ACC1,M_PL_ACC2,M_PL_ACCMV0,M_PL_ACCMV1,M_PL_ACCMV2,M_PL_ALL0,M_PL_ALL1,M_PL_ALL2,M_PL_ASS0,M_PL_ASS1,M_PL_ASS2,M_PL_CG0,M_PL_CG1,M_PL_CG2,M_PL_CGR0,M_PL_CGR1,M_PL_CGR2,M_PL_CGRA0,M_PL_CGRA1,M_PL_CGRA2,M_PL_CGU0,M_PL_CGU1,M_PL_CGU2,M_PL_CGUA0,M_PL_CGUA1,M_PL_CGUA2,M_PL_CR0,M_PL_CR1,M_PL_CR2,M_PL_CRRA0,M_PL_CRRA1,M_PL_CRRA2,M_PL_CRUA0,M_PL_CRUA1,M_PL_CRUA2,M_PL_CS0,M_PL_CS1,M_PL_CS2,M_PL_CSFCP0,M_PL_CSFCP1,M_PL_CSFCP2,M_PL_CSFI0,M_PL_CSFI1,M_PL_CSFI2,M_PL_CSFR0,M_PL_CSFR1,M_PL_CSFR2,M_PL_CSFRV0,M_PL_CSFRV1,M_PL_CSFRV2,M_PL_CSNF0,M_PL_CSNF1,M_PL_CSNF2,M_PL_CSNFCP0,M_PL_CSNFCP1,M_PL_CSNFCP2,M_PL_CSNFR0,M_PL_CSNFR1,M_PL_CSNFR2,M_PL_CSNFRV0,M_PL_CSNFRV1,M_PL_CSNFRV2,M_PL_CSRV0,M_PL_CSRV1,M_PL_CSRV2,M_PL_CUR,M_PL_FE0,M_PL_FE1,M_PL_FE2,M_PL_FEFI0,M_PL_FEFI1,M_PL_FEFI2,M_PL_FMV0,M_PL_FMV1,M_PL_FMV2,M_PL_FMVCL0,M_PL_FMVCL1,M_PL_FMVCL2,M_PL_FPFCP0,M_PL_FPFCP1,M_PL_FPFCP2,M_PL_FPFRV0,M_PL_FPFRV1,M_PL_FPFRV2,M_PL_FPNFCP0,M_PL_FPNFCP1,M_PL_FPNFCP2,M_PL_FPNFRV0,M_PL_FPNFRV1,M_PL_FPNFRV2,M_PL_FTFI0,M_PL_FTFI1,M_PL_FTFI2,M_PL_GEPL0,M_PL_GEPL1,M_PL_GEPL2,M_PL_MVFCP0,M_PL_MVFCP1,M_PL_MVFCP2,M_PL_MVFRV0,M_PL_MVFRV1,M_PL_MVFRV2,M_PL_MVNFCP0,M_PL_MVNFCP1,M_PL_MVNFCP2,M_PL_MVNFRV0,M_PL_MVNFRV1,M_PL_MVNFRV2,M_PL_NEPL0,M_PL_NEPL1,M_PL_NEPL2,M_PL_NFMV0,M_PL_NFMV1,M_PL_NFMV2,M_PL_NFMVCL0,M_PL_NFMVCL1,M_PL_NFMVCL2,M_PL_NPV0,M_PL_NPV1,M_PL_NPV2,M_PL_PMF0,M_PL_PMF1,M_PL_PMF2,M_PL_PVC0,M_PL_PVC1,M_PL_PVC2,M_PL_PVR0,M_PL_PVR1,M_PL_PVR2,M_PL_RV0,M_PL_RV1,M_PL_RV2,M_PL_RVR0,M_PL_RVR1,M_PL_RVR2,M_PL_RVRA0,M_PL_RVRA1,M_PL_RVRA2,M_PL_RVU0,M_PL_RVU1,M_PL_RVU2,M_PL_RVUA0,M_PL_RVUA1,M_PL_RVUA2,M_QTY_INDEX,M_REF_DATA,M_SC0_IR1_PL,M_SC0_IR2_PL,M_SC0_PL_AC,M_SC0_PL_UC,M_SC1_IR1_PL,M_SC1_IR2_PL,M_SC1_PL_AC,M_SC1_PL_UC,M_SC2_IR1_PL,M_SC2_IR2_PL,M_SC2_PL_AC,M_SC2_PL_UC,M_SECDATA,M_SVRTEQLB1,M_SVRTEQLB2,M_SVRTEQVAL0,M_SVRTEQVAL1,M_SVRTEQVAL2,M_S_DELTA0,M_S_DELTA1,M_S_DELTA2,M_S_GAMMA0,M_S_GAMMA1,M_S_GAMMA2,M_S_RHO0,M_S_RHO1,M_S_RHO2,M_S_RHOF0,M_S_RHOF1,M_S_RHOF2,M_S_THETA0
7291547,MxG2K,0,980693,THB,0,0,0,0,1,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.194255132,0,0,0,0,0,0,0,0,0,333519,,0,0,0,0,0,-604744.31,0,0,13500,0,0,-604744.31,0,0,13500,THB,USD,0,0,86286195.56,0,0,-2894531.25,0,0,-2855891.06,0,0,-155090.36,0,0,0,0,0,0,0,0,-2003087.37,0,0,0,0,0,0,0,0,-2003087.373,0,0,-2003087.373,0,0,-4267734.12,0,0,0,0,0,-4267734.12,0,0,-10123982.96,0,0,-7859336.206,0,0,0,0,0,0,0,0,-2264646.75,0,0,-10123982.96,0,0,-7859336.206,0,0,0,0,0,-2264646.75,0,0,-2264646.75,THB,0,0,0,0,0,0,0,0,5855787.049,0,0,5855787.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-461.783601,0,0,-4268195.91,0,0,5855787.049,0,0,0,0,0,5856248.832,0,0,0,0,0,-4268195.91,0,0,5856248.832,0,0,5856248.832,0,0,5855325.27,0,0,0,0,0,-461.78,0,0,155090.36,0,0,-2264646.75,0,0,0,0,0,0,0,0,-2264646.75,0,0,-2264646.75,0,21579,1,1,1,1,1,32.8553225,1,1,1,33.3077,1,1,0,THB THBFIX 6M S,1Y             ,0,0,-457.64,0,0,100,0,0,0,0,0,0,0,0,0,0
7291547,MX.3,0,4532,THB,0,0,0,0,0,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.194255776,0,0,0,0,0,0,0,0,0,341233,,0,0,0,0,0,-604744.31,0,0,13500,0,0,-604744.31,0,0,13500,THB,USD,0,0,86286195.56,0,0,-2894531.25,0,0,-2855891.06,0,0,-155090.36,0,0,0,0,0,0,0,0,-2003085.99,0,0,0,0,0,0,0,0,-2003085.985,0,0,-2003085.985,0,0,-4267732.74,0,0,0,0,0,-4267732.74,0,0,-10123982.96,0,0,-7859336.206,0,0,0,0,0,0,0,0,-2264646.75,0,0,-10123982.96,0,0,-7859336.206,0,0,0,0,0,-2264646.75,0,0,-2264646.75,THB,0,0,0,0,0,0,0,0,5855788.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-461.78371,0,0,-4268194.52,0,0,5855788.437,0,0,0,0,0,5856250.22,0,0,0,0,0,-4268194.52,0,0,5856250.22,0,0,0,0,0,5855326.65,0,0,0,0,0,-461.78,0,0,155090.36,0,0,-2264646.75,0,0,0,0,0,0,0,0,-2264646.75,0,0,-2264646.75,0,24627,1,1,1,1,1,1,1,1,1,33.3077,1,1,0,               ,1Y             ,0,0,-458.71,0,0,100,0,0,0,0,0,52.8275,0,0,-52.8275,0
7467013,MxG2K,0,980701,THB,0,0,0,0,1,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.440445129,0,0,0,0,0,0,0,0,0,333519,,0,0,0,0,0,-8966.08,0,0,205.83,0,0,-8966.08,0,0,205.83,THB,USD,0,0,3570468.23,0,0,-118067.17,0,0,-103461.83,0,0,-2110.24,0,0,0,0,0,0,0,0,-22248.11,0,0,0,0,0,0,0,0,-22248.11445,0,0,-22248.11445,0,0,-116949.69,0,0,0,0,0,-116949.69,0,0,-362077.65,0,0,-267376.0732,0,0,0,0,0,0,0,0,-94701.57966,0,0,-362077.6529,0,0,-267376.0732,0,0,0,0,0,-94701.57966,0,0,-94701.58,THB,0,0,0,0,0,0,0,0,245108.6297,0,0,245108.6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.329109,0,0,-116969.02,0,0,245108.6297,0,0,0,0,0,245127.9588,0,0,0,0,0,-116969.02,0,0,245127.9588,0,0,245127.9588,0,0,245089.3,0,0,0,0,0,-19.33,0,0,2110.24,0,0,-94701.58,0,0,0,0,0,0,0,0,-94701.57966,0,0,-94701.57966,0,21579,1,1,1,1,1,32.8553225,1,1,1,33.3077,1,1,0,THB THBFIX 6M S,1Y             ,0,0,-3.47,0,0,100,0,0,0,0,0,0,0,0,0,0
7467013,MX.3,0,4540,THB,0,0,0,0,0,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.440445129,0,0,0,0,0,0,0,0,0,341233,,0,0,0,0,0,-8966.08,0,0,205.83,0,0,-8966.08,0,0,205.83,THB,USD,0,0,3570468.23,0,0,-118067.17,0,0,-103461.83,0,0,-2110.24,0,0,0,0,0,0,0,0,-22248.11,0,0,0,0,0,0,0,0,-22248.11445,0,0,-22248.11445,0,0,-116949.69,0,0,0,0,0,-116949.69,0,0,-362077.65,0,0,-267376.0732,0,0,0,0,0,0,0,0,-94701.57966,0,0,-362077.6529,0,0,-267376.0732,0,0,0,0,0,-94701.57966,0,0,-94701.58,THB,0,0,0,0,0,0,0,0,245108.6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.329109,0,0,-116969.02,0,0,245108.6297,0,0,0,0,0,245127.9588,0,0,0,0,0,-116969.02,0,0,245127.9588,0,0,0,0,0,245089.3,0,0,0,0,0,-19.33,0,0,2110.24,0,0,-94701.58,0,0,0,0,0,0,0,0,-94701.57966,0,0,-94701.57966,0,24627,1,1,1,1,1,1,1,1,1,33.3077,1,1,0,               ,1Y             ,0,0,-3.51,0,0,100,0,0,0,0,0,2.15482,0,0,-2.15482,0
7299887,MxG2K,0,980696,THB,0,0,0,0,1,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.118395524,0,0,0,0,0,0,0,0,0,333519,,0,0,0,0,0,-407355.12,0,0,9000,0,0,-407355.12,0,0,9000,THB,USD,0,0,57368940,0,0,-1918000,0,0,-1970575.62,0,0,-107585.82,0,0,0,0,0,0,0,0,-1366229.11,0,0,0,0,0,0,0,0,-1366229.108,0,0,-1366229.108,0,0,-2938449.61,0,0,0,0,0,-2938449.61,0,0,-6515228.6,0,0,-4943008.1,0,0,0,0,0,0,0,0,-1572220.5,0,0,-6515228.6,0,0,-4943008.1,0,0,0,0,0,-1572220.5,0,0,-1572220.5,THB,0,0,0,0,0,0,0,0,3576496.952,0,0,3576496.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-282.04025,0,0,-2938731.65,0,0,3576496.952,0,0,0,0,0,3576778.992,0,0,0,0,0,-2938731.65,0,0,3576778.992,0,0,3576778.992,0,0,3576214.91,0,0,0,0,0,-282.04,0,0,107585.82,0,0,-1572220.5,0,0,0,0,0,0,0,0,-1572220.5,0,0,-1572220.5,0,21579,1,1,1,1,1,32.8553225,1,1,1,33.3077,1,1,0,THB THBFIX 6M S,1Y             ,0,0,-306.51,0,0,100,0,0,0,0,0,0,0,0,0,0
7299887,MX.3,0,4535,THB,0,0,0,0,0,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.118396167,0,0,0,0,0,0,0,0,0,341233,,0,0,0,0,0,-407355.12,0,0,9000,0,0,-407355.12,0,0,9000,THB,USD,0,0,57368940,0,0,-1918000,0,0,-1970575.62,0,0,-107585.82,0,0,0,0,0,0,0,0,-1366228.18,0,0,0,0,0,0,0,0,-1366228.178,0,0,-1366228.178,0,0,-2938448.68,0,0,0,0,0,-2938448.68,0,0,-6515228.6,0,0,-4943008.1,0,0,0,0,0,0,0,0,-1572220.5,0,0,-6515228.6,0,0,-4943008.1,0,0,0,0,0,-1572220.5,0,0,-1572220.5,THB,0,0,0,0,0,0,0,0,3576497.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-282.040323,0,0,-2938730.72,0,0,3576497.881,0,0,0,0,0,3576779.921,0,0,0,0,0,-2938730.72,0,0,3576779.921,0,0,0,0,0,3576215.84,0,0,0,0,0,-282.04,0,0,107585.82,0,0,-1572220.5,0,0,0,0,0,0,0,0,-1572220.5,0,0,-1572220.5,0,24627,1,1,1,1,1,1,1,1,1,33.3077,1,1,0,               ,1Y             ,0,0,-307.22,0,0,100,0,0,0,0,0,35.00502,0,0,-35.00502,0
7381137,MxG2K,0,980698,THB,0,0,0,0,1,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.048855647,0,0,0,0,0,0,0,0,0,333519,,0,0,0,0,0,-194076.79,0,0,5666.67,0,0,-194076.79,0,0,5666.67,THB,USD,0,0,27862345.44,0,0,-875152.78,0,0,-248603.72,0,0,-5333.16,0,0,0,0,0,0,0,0,-978101.51,0,0,0,0,0,0,0,0,-978101.5132,0,0,-978101.5132,0,0,-1038295.11,0,0,0,0,0,-1038295.11,0,0,-1286980.81,0,0,-1226787.21,0,0,0,0,0,0,0,0,-60193.6,0,0,-1286980.81,0,0,-1226787.21,0,0,0,0,0,-60193.6,0,0,-60193.6,THB,0,0,0,0,0,0,0,0,248666.0875,0,0,248666.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.609648,0,0,-1038314.72,0,0,248666.0875,0,0,0,0,0,248685.6972,0,0,0,0,0,-1038314.72,0,0,248685.6972,0,0,248685.6972,0,0,248646.48,0,0,0,0,0,-19.61,0,0,5333.16,0,0,-60193.6,0,0,0,0,0,0,0,0,-60193.6,0,0,-60193.6,0,21579,1,1,1,1,1,32.8553225,1,1,1,33.3077,1,1,0,THB THBFIX 6M S,1Y             ,0,0,-498.73,0,0,100,0,0,0,0,0,0,0,0,0,0
7381137,MX.3,0,4537,THB,0,0,0,0,0,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.048855877,0,0,0,0,0,0,0,0,0,341233,,0,0,0,0,0,-194076.79,0,0,5666.67,0,0,-194076.79,0,0,5666.67,THB,USD,0,0,27862345.44,0,0,-875152.78,0,0,-248603.72,0,0,-5333.16,0,0,0,0,0,0,0,0,-978100.99,0,0,0,0,0,0,0,0,-978100.993,0,0,-978100.993,0,0,-1038294.59,0,0,0,0,0,-1038294.59,0,0,-1286980.81,0,0,-1226787.21,0,0,0,0,0,0,0,0,-60193.6,0,0,-1286980.81,0,0,-1226787.21,0,0,0,0,0,-60193.6,0,0,-60193.6,THB,0,0,0,0,0,0,0,0,248666.6077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.609689,0,0,-1038314.2,0,0,248666.6077,0,0,0,0,0,248686.2173,0,0,0,0,0,-1038314.2,0,0,248686.2173,0,0,0,0,0,248647,0,0,0,0,0,-19.61,0,0,5333.16,0,0,-60193.6,0,0,0,0,0,0,0,0,-60193.6,0,0,-60193.6,0,24627,1,1,1,1,1,1,1,1,1,33.3077,1,1,0,               ,1Y             ,0,0,-499.05,0,0,100,0,0,0,0,0,15.97223,0,0,-15.97223,0
7396206,MxG2K,0,980699,THB,0,0,0,0,1,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.047417689,0,0,0,0,0,0,0,0,0,333519,,0,0,0,0,0,-196327.76,0,0,5666.67,0,0,-196327.76,0,0,5666.67,THB,USD,0,0,27743931.22,0,0,-871905.28,0,0,-284389.6,0,0,-7584.13,0,0,0,0,0,0,0,0,-1090369.11,0,0,0,0,0,0,0,0,-1090369.114,0,0,-1090369.114,0,0,-1184097.61,0,0,0,0,0,-1184097.61,0,0,-1297228.27,0,0,-1203499.775,0,0,0,0,0,0,0,0,-93728.5,0,0,-1297228.275,0,0,-1203499.775,0,0,0,0,0,-93728.5,0,0,-93728.5,THB,0,0,0,0,0,0,0,0,113121.7399,0,0,113121.7399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.920708,0,0,-1184106.53,0,0,113121.7399,0,0,0,0,0,113130.6606,0,0,0,0,0,-1184106.53,0,0,113130.6606,0,0,113130.6606,0,0,113112.82,0,0,0,0,0,-8.92,0,0,7584.13,0,0,-93728.5,0,0,0,0,0,0,0,0,-93728.5,0,0,-93728.5,0,21579,1,1,1,1,1,32.8553225,1,1,1,33.3077,1,1,0,THB THBFIX 6M S,1Y             ,0,0,-499.9,0,0,100,0,0,0,0,0,0,0,0,0,0
7396206,MX.3,0,4538,THB,0,0,0,0,0,1,THB,          ,1,-1,THB CRSUSD 6M S     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.047417919,0,0,0,0,0,0,0,0,0,341233,,0,0,0,0,0,-196327.76,0,0,5666.67,0,0,-196327.76,0,0,5666.67,THB,USD,0,0,27743931.22,0,0,-871905.28,0,0,-284389.6,0,0,-7584.13,0,0,0,0,0,0,0,0,-1090368.59,0,0,0,0,0,0,0,0,-1090368.592,0,0,-1090368.592,0,0,-1184097.09,0,0,0,0,0,-1184097.09,0,0,-1297228.27,0,0,-1203499.775,0,0,0,0,0,0,0,0,-93728.5,0,0,-1297228.275,0,0,-1203499.775,0,0,0,0,0,-93728.5,0,0,-93728.5,THB,0,0,0,0,0,0,0,0,113122.2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.920749,0,0,-1184106.01,0,0,113122.2616,0,0,0,0,0,113131.1824,0,0,0,0,0,-1184106.01,0,0,113131.1824,0,0,0,0,0,113113.34,0,0,0,0,0,-8.92,0,0,7584.13,0,0,-93728.5,0,0,0,0,0,0,0,0,-93728.5,0,0,-93728.5,0,24627,1,1,1,1,1,1,1,1,1,33.3077,1,1,0,               ,1Y             ,0,0,-500.22,0,0,100,0,0,0,0,0,15.91296,0,0,-15.91296,0
